"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.IR9140",0.0159145212170256,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9140",0.275398859005405,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9140",0.117943056138381,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9141",0.127117439614962,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9141",0.00961309054450048,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9141",0.322468861060396,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9141",0.201365507110001,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9142",0.0882686531295793,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9142",0.0111478532580273,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9142",0.285525186076147,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9142",0.139857425869797,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9143",0.102290413257366,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9143",0.00895939690950555,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9143",0.363700909019112,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9143",0.185223955856072,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9144",0.185490095034487,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9144",0.00771725969861695,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9144",0.33910896891514,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9144",0.294555458799322,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9145",0.121863874731628,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9145",0.0101336725442398,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9145",0.310259934934263,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9145",0.199474554498663,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9146",0.0951983143407727,"sigsq.wavelet.CR","Colony","Rhythmicity"
