Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
7_17_42,16.04241415,2.552777461,0.0125,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_43,29.93620333,2.546865678,0,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_44,21.16809238,2.301424526,0,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_45,48.63150578,3.931232862,0,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_46,18.42789474,2.787620905,0,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_47,13.96573267,2.47612736,0.004166667,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_48,8.59691688,2.117704005,0.009375,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_5,19.75052856,2.36724134,0.016666667,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_6,52.12195734,2.504701439,0.007291667,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_7,16.04241415,2.865576041,0.123958333,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_8,42.33618475,2.473633134,0.015625,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_9,16.04241415,3.051815459,0,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_18_1,13.03048934,2.737088578,0.09375,7/18/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_18_10,13.03048934,2.499382147,0.002083333,7/18/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
